### Header (CP-1252 autodetection: “‘quotes’ in quotes”, „größer”, «ŒUF? —DÉÇU…») ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
# Decisions #;;;;;;;;;;;;;;
cch.end-of-the-country_title;The End of $COUNTRY$;;;;;;;;;;;;;
cch.end-of-the-country_desc;Really, this country’s existence was only a brief respite. All things must end.;;;;;;;;;;;;;
cch.end-of-diplomatic-relations_title;The End of Diplomatic Relations;;;;;;;;;;;;;
cch.end-of-diplomatic-relations_desc;There’s no use hanging on to hope now. Countries come and go, and it’s time to end some formal diplomatic relationships.\n\n§B(End diplomatic relationships involving non-existing countries.)§!;;;;;;;;;;;;;
# Events #;;;;;;;;;;;;;;
EVT6061NAME;Our New Ally;;;;;;;;;;;;;
EVT6061DESC;Ever the beacon of liberty, $FROMCOUNTRY$ has valiantly risen to the occasion. They have promised to guarantee our liberty and independence, and to aid us in war. With $FROMCOUNTRY_ADJ$ gallantry by our side we finally have a chance against British imperialism!;;;;;;;;;;;;;
EVT6061OPTA;Fantastic news.;;;;;;;;;;;;;
cch.they-no-longer-recognise-us.name;The Diplomatic World No Longer Recognises $COUNTRY$;;;;;;;;;;;;;
cch.they-no-longer-recognise-us.desc;It’s over. Embassies all over the world no longer recognise our government and all our formal diplomatic ties have been severed.;;;;;;;;;;;;;
cch.they-no-longer-recognise-us.opt0;Damnation!;;;;;;;;;;;;;
EVTNAME45101;Soulouque Declares Himself Emperor;Soulouque se proclame empereur;Soulouque erklärt sich selbst zum Kaiser;;Soulouque se declara emperador;;;;;;;;;
EVTDESC45101;Faustin Soulouque, the compromise candidate for President in 1847, declared himself the second emperor of Haiti as Faustin I.;Faustin Soulouque, candidat compromis à la présidentielle de 1847, s'est proclamé second empereur d'Haïti sous le nom de Faustin Ier.;Der 1847 zum Präsidenten gewählte General Faustin Soulouque hat sich selbst zum Kaiser Faustin I. von Haiti gekrönt.;Soulouque se declara emperador;Faustin Élie Soulouque, candidato de compromiso a presidente en 1847, se ha declarado a sí mismo segundo emperador de Haití como Faustino I.;;;;;;;;;
# Modifiers #;;;;;;;;;;;;;;
cch.recent-call-to-arms;Recent Call to Arms;;;;;;;;;;;;;
cch.recent-call-to-arms_desc;Our country has recently called upon all her allies to join our ongoing wars.;;;;;;;;;;;;;
# Countries #;;;;;;;;;;;;;;
LUX;Luxembourg;Luxembourg;Luxemburg;;Luxemburgo;;;;;;;;;
LUX_ADJ;Luxembourgish;Luxembourgeois;Luxemburgisch;;Luxemburguesa;;;;;;;;;
NEW_ADJ;Newfoundland;Terre-Neuvien;Neufundländisch;;Terranovesa;;;;;;;;;
NZL_ADJ;Kiwi;Néo-zélandais;Neuseeländisch;;Nueva Zelanda;;;;;;;;;
# Parties #;;;;;;;;;;;;;;
QUE_reactionary;Parti nationaliste;Parti nationaliste;Parti nationaliste;;Parti nationaliste;;;;;;;;;
# Flags #;;;;;;;;;;;;;;
cch.bedr-khan-defeated;Bedr Khan defeated;;;;;;;;;;;;;
# Names of conquests #;;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_NAME;$ORDER$$FIRST$ Conquest of $SECOND_COUNTRY$;$ORDER$conquête $FIRST$ de $SECOND_COUNTRY$;$ORDER$$FIRST$ Eroberung von $SECOND_COUNTRY$;;$ORDER$$FIRST$ Conquista de $SECOND_COUNTRY$;;;;;;;;;
# Restore America CB that was mangled & incomplete #;;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_AMERICA_NAME;The $ORDER$$FIRST$-$SECOND$ War of American Restoration;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_AMERICA_NAME;The $ORDER$$FIRST$-$SECOND$ War of American Restoration;;;;;;;;;;;;;
restore_america;Acquire American Core;Prendre territoire clé;Kernprovinz erwerben;;;;;;;;;;;
restore_america_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
restore_america_setup;Acquire American core $STATE$ from $RECIPIENT$;Prendre État clé $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
restore_america_desc;Acquire an enemy §Ystate§W with the goal of §Yrestoring the United States§W;Prendre un §YÉtat§W ennemi où nous avons des §Yprovinces principales§W;Erobern Sie einen feindlichen §YStaat§W, in dem wir §YKernprovinzen§W haben.;;;;;;;;;;;
